Device: mps
Curves: [601] (1 curves, max_p=601)
Variant: CRT-BOTH
  Curve 0 (p=601): CRT factors 24 x 25
Total solution space: 96000 across 1 curves
  Curve 0 (p=601): space=96000, 160 primitive roots
Train: 28800, Test: 67200
Vocab size: 606, max_len: 10
/Users/davidsvensson/Desktop/rd-lumi-z3/venv/lib/python3.13/site-packages/torch/nn/modules/transformer.py:392: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.norm_first was True
  warnings.warn(
Model: M06, d_model=208, n_heads=8, n_layers=2
Params: 1,298,526 total, 1,043,744 core
WD: start=0.05, max=0.1841, step=0.05

Starting training: 15000 epochs
================================================================================
  Ep   6600 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=2618.0s | c0(p=601)=0.00
  Ep   6700 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=2643.7s | c0(p=601)=0.00
  Ep   6800 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=2695.7s | c0(p=601)=0.00
  Ep   6900 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=2722.0s | c0(p=601)=0.00
  Ep   7000 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=2774.3s | c0(p=601)=0.00
  Ep   7100 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=2799.8s | c0(p=601)=0.00
  Ep   7200 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=2851.9s | c0(p=601)=0.00
  Ep   7300 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=2877.5s | c0(p=601)=0.00
  Ep   7400 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=2929.6s | c0(p=601)=0.00
  Ep   7500 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=2955.3s | c0(p=601)=0.00
  Ep   7600 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=3007.0s | c0(p=601)=0.00
  Ep   7700 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=3032.7s | c0(p=601)=0.00
  Ep   7800 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=3085.2s | c0(p=601)=0.00
  Ep   7900 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=3111.2s | c0(p=601)=0.00
  Ep   8000 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=3163.3s | c0(p=601)=0.00
  Ep   8100 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=3189.0s | c0(p=601)=0.00
  Ep   8200 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=3241.1s | c0(p=601)=0.00
  Ep   8300 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=3266.8s | c0(p=601)=0.00
  Ep   8400 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=3319.2s | c0(p=601)=0.00
  Ep   8500 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=3344.8s | c0(p=601)=0.00
  Ep   8600 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=3396.6s | c0(p=601)=0.00
